COD_UBIC_P,DESC_LINEA,COD_VARIAN,franja_horaria,cant_viajes
565,G,3382,10-18,165
565,G,3382,18-00,25
565,G,3649,00-10,3
565,G,3649,10-18,2
565,G,3649,18-00,20
566,124,650,00-10,385
566,124,650,10-18,1089
566,124,650,18-00,311
566,124,2172,00-10,20
566,124,2172,10-18,6
566,125,673,00-10,2
566,125,673,10-18,4
566,125,675,00-10,250
566,125,675,10-18,947
566,125,675,18-00,231
566,125,683,00-10,4
566,125,683,10-18,11
566,125,683,18-00,19
566,125,2032,00-10,12
566,125,2032,10-18,126
566,125,2032,18-00,37
566,127,698,00-10,22
566,127,698,18-00,50
566,127,702,10-18,6
566,127,708,00-10,28
566,127,708,10-18,55
566,127,708,18-00,39
566,127,710,10-18,56
566,127,1878,00-10,8
566,127,1878,10-18,14
566,127,1878,18-00,1
566,127,2411,00-10,69
566,127,2411,10-18,73
566,127,2411,18-00,35
566,127,2526,00-10,2
566,127,2526,18-00,1
566,127,2668,00-10,10
566,127,2668,10-18,3
566,127,2668,18-00,28
566,127,2671,00-10,20
566,127,2671,10-18,58
566,127,2671,18-00,32
566,127,2673,10-18,6
566,127,2675,10-18,43
566,127,2675,18-00,8
566,127,3191,10-18,154
566,133,2984,00-10,89
566,133,2986,00-10,11
566,133,2986,18-00,10
566,133,7452,00-10,2
566,191,1402,00-10,39
566,191,1402,10-18,112
566,191,1402,18-00,72
566,404,2822,10-18,87
566,404,2822,18-00,1
566,427,86,00-10,491
566,427,86,10-18,1568
566,427,86,18-00,1152
566,427,87,00-10,21
566,427,87,18-00,1
566,427,88,00-10,8
566,427,88,18-00,1
566,427,1956,00-10,20
566,427,2126,10-18,528
566,427,2126,18-00,75
566,427,2127,00-10,7
566,427,2127,10-18,54
566,427,2127,18-00,83
566,427,2359,00-10,136
566,427,2359,10-18,384
566,427,2359,18-00,218
566,427,2362,00-10,9
566,427,2362,10-18,440
566,427,2362,18-00,27
566,427,2634,10-18,59
566,427,2634,18-00,87
566,456,101,00-10,2
566,456,2089,00-10,47
566,456,2089,10-18,170
566,456,2089,18-00,40
566,456,2997,00-10,49
566,456,2997,10-18,3
566,456,2997,18-00,64
566,494,129,00-10,215
566,494,129,10-18,696
566,494,129,18-00,524
566,494,2628,00-10,5
566,494,2628,10-18,448
